Training on cuda
Skipped Norm (no weight): InstanceNorm2d(128, eps=1e-05, momentum=0.1, affine=False, track_running_stats=False)
Skipped Norm (no bias): InstanceNorm2d(128, eps=1e-05, momentum=0.1, affine=False, track_running_stats=False)
Skipped Norm (no weight): InstanceNorm2d(256, eps=1e-05, momentum=0.1, affine=False, track_running_stats=False)
Skipped Norm (no bias): InstanceNorm2d(256, eps=1e-05, momentum=0.1, affine=False, track_running_stats=False)
Skipped Norm (no weight): InstanceNorm2d(512, eps=1e-05, momentum=0.1, affine=False, track_running_stats=False)
Skipped Norm (no bias): InstanceNorm2d(512, eps=1e-05, momentum=0.1, affine=False, track_running_stats=False)
Skipped Norm (no weight): InstanceNorm2d(128, eps=1e-05, momentum=0.1, affine=False, track_running_stats=False)
Skipped Norm (no bias): InstanceNorm2d(128, eps=1e-05, momentum=0.1, affine=False, track_running_stats=False)
Skipped Norm (no weight): InstanceNorm2d(256, eps=1e-05, momentum=0.1, affine=False, track_running_stats=False)
Skipped Norm (no bias): InstanceNorm2d(256, eps=1e-05, momentum=0.1, affine=False, track_running_stats=False)
Skipped Norm (no weight): InstanceNorm2d(512, eps=1e-05, momentum=0.1, affine=False, track_running_stats=False)
Skipped Norm (no bias): InstanceNorm2d(512, eps=1e-05, momentum=0.1, affine=False, track_running_stats=False)
AVG Gen Loss:3.2193212613954647 | AVG Disc Loss: 0.3092689659078043
AVG Gen Loss:2.4273872696436367 | AVG Disc Loss: 0.19703896237271173
AVG Gen Loss:2.3066813395573544 | AVG Disc Loss: 0.17023075764978324
AVG Gen Loss:2.1745677518320607 | AVG Disc Loss: 0.17082794059763898
AVG Gen Loss:2.001727662243686 | AVG Disc Loss: 0.16932772578937666
AVG Gen Loss:1.8561654758977366 | AVG Disc Loss: 0.1667673856347472
AVG Gen Loss:1.712885021508395 | AVG Disc Loss: 0.18027535764561906
AVG Gen Loss:1.5997361508044567 | AVG Disc Loss: 0.18791025033691428
AVG Gen Loss:1.4574882695963094 | AVG Disc Loss: 0.17293697259910815
AVG Gen Loss:1.4306874484806271 | AVG Disc Loss: 0.1796429985008397
AVG Gen Loss:1.4659888528205536 | AVG Disc Loss: 0.17051420712864007
AVG Gen Loss:1.3373440556473783 | AVG Disc Loss: 0.19105288853029628
AVG Gen Loss:1.3147857156428662 | AVG Disc Loss: 0.19420300243975042
AVG Gen Loss:1.3061648220806332 | AVG Disc Loss: 0.19418240510500395
AVG Gen Loss:1.2464690113460624 | AVG Disc Loss: 0.2056870182955658
AVG Gen Loss:1.2308991171501495 | AVG Disc Loss: 0.20354562383759153
AVG Gen Loss:1.2192565962508484 | AVG Disc Loss: 0.1877032784479005
AVG Gen Loss:1.2639183506860838 | AVG Disc Loss: 0.18500747523465
AVG Gen Loss:1.3252723747557336 | AVG Disc Loss: 0.1733743774366903
AVG Gen Loss:1.3931781613564753 | AVG Disc Loss: 0.1639563215302897
AVG Gen Loss:1.703208905654949 | AVG Disc Loss: 0.12770970122745404
AVG Gen Loss:1.2253974951230562 | AVG Disc Loss: 0.2020088663467994
AVG Gen Loss:1.1496134524816994 | AVG Disc Loss: 0.19497994546379363
AVG Gen Loss:1.1482820573088888 | AVG Disc Loss: 0.2008134228187603
AVG Gen Loss:1.1214353419267213 | AVG Disc Loss: 0.2079303418951375
AVG Gen Loss:1.0941016359643623 | AVG Disc Loss: 0.21171084881483854
AVG Gen Loss:1.0779234262613149 | AVG Disc Loss: 0.2145594590149083
AVG Gen Loss:1.0762819693638728 | AVG Disc Loss: 0.21003953514845816
